positionId	positionName	companyId	companyFullName	companyShortName	industryField	financeStage	companySize	salary	workYear	education
7347934	python开发工程师	88	北京木瓜移动科技股份有限公司	木瓜移动	移动互联网	B轮	150-500人	15k-30k	3-5年	本科
6791340	高级Python开发工程师/爬虫/spider	111175	智线云科技（北京）有限公司	ZingFront智线	移动互联网,数据服务	A轮	50-150人	15k-25k	3-5年	本科
7452563	少儿编程老师java/python/web	102212	达内时代科技集团有限公司	达内集团	移动互联网,教育	上市公司	2000人以上	8k-12k	不限	本科
7369077	少儿编程讲师-java//web/python	102212	达内时代科技集团有限公司	达内集团	移动互联网,教育	上市公司	2000人以上	8k-13k	不限	本科
7209783	运维开发工程师（Python）	141803	北京高思博乐教育科技股份有限公司	爱学习教育集团	教育,移动互联网	上市公司	2000人以上	25k-35k	3-5年	大专
7493640	python开发工程师	203821	北京智合大方科技有限公司	客知音	企业服务,移动互联网	A轮	50-150人	18k-26k	3-5年	本科
7250276	Python开发工程师	286568	北京音娱时光科技有限公司	音娱时光	移动互联网	B轮	50-150人	15k-30k	1-3年	本科
6581876	Python Web开发工程师	35322	北京缔联科技有限公司	缔联科技	企业服务	B轮	50-150人	15k-18k	3-5年	本科
3804005	Python 后端开发（北京）	30816	上海倾听信息技术有限公司	蜻蜓FM	移动互联网	D轮及以上	150-500人	18k-36k	1-3年	本科
7619375	Python开发工程师（web端开发经验）	35322	北京缔联科技有限公司	缔联科技	企业服务	B轮	50-150人	15k-18k	3-5年	本科
5793627	Python后端开发高级工程师	279882	中科弘云科技（北京）有限公司	中科弘云	数据服务,其他	天使轮	15-50人	12k-18k	3-5年	本科
4118481	Python开发工程师	321870	北京汉迪移动互联网科技股份有限公司	iHandy	移动互联网	不需要融资	150-500人	15k-30k	1-3年	本科
7705573	Python开发工程师/量化策略	399496	北京拓蛮信息科技有限公司	Tokenmania	金融,移动互联网	不需要融资	50-150人	18k-30k	3-5年	本科
4828735	产品工程师-Python	359383	北京方舟阅读科技有限公司	豆瓣阅读	文娱丨内容	A轮	15-50人	15k-25k	1-3年	本科
7247946	python讲师	114259	北京八维研修学院	北京八维研修学院	教育	未融资	2000人以上	15k-20k	3-5年	本科
7329601	Python实施顾问	145597	云势天下（北京）软件有限公司	云势软件	企业服务	B轮	150-500人	10k-15k	1-3年	本科
7667282	Python后端开发工程师（应用开发方向）BJ	121645	上海茗日智能科技有限公司	MRS	企业服务	A轮	15-50人	12k-23k	1-3年	本科
3931052	软件开发工程师（python）	45262	北京智海创讯信息技术有限公司	智海创讯	数据服务	不需要融资	15-50人	10k-20k	不限	本科
7517958	python后端开发工程师	82874349	广州嘉为信息技术有限公司	嘉为信息	企业服务,数据服务	A轮	500-2000人	10k-15k	1-3年	本科
5572773	高级python开发工程师	53903	北京无极慧通科技有限公司	无极慧通	医疗丨健康,数据服务	A轮	50-150人	10k-15k	1-3年	本科
6915133	python后端实习生（可转正）	260173	北京星尘纪元智能科技有限公司	星尘数据	数据服务,移动互联网	A轮	15-50人	3k-6k	1年以下	本科
1784325	Python工程师	46010	北京天桐互动信息技术有限公司	天桐互动	移动互联网	C轮	50-150人	15k-25k	1-3年	本科
7561535	python工程师（新华互联）	135255	新华书店总店	新华书店总店	文娱丨内容,移动互联网	未融资	500-2000人	10k-20k	1-3年	本科
3869044	Python技术经理	163182	北京音悦荚科技有限责任公司	音悦荚	移动互联网,教育	A轮	50-150人	30k-50k	3-5年	大专
5373035	Python后端	463774	北京云杉智达科技有限公司	云杉智达科技	移动互联网,企业服务	不需要融资	15-50人	10k-15k	1-3年	本科
6814780	高级python研发工程师	463774	北京云杉智达科技有限公司	云杉智达科技	移动互联网,企业服务	不需要融资	15-50人	15k-20k	3-5年	本科
97805	高级python开发工程师	179	北京新工场投资顾问有限公司	她理财	金融	A轮	50-150人	15k-30k	1-3年	本科
7632893	python开发工程师（北京）	206460	威讯柏睿数据科技（北京）有限公司	柏睿数据	数据服务,信息安全	B轮	50-150人	18k-30k	3-5年	本科
7505270	前端WEB研发工程师（Python）	206460	威讯柏睿数据科技（北京）有限公司	柏睿数据	数据服务,信息安全	B轮	50-150人	15k-30k	3-5年	本科
7497474	Python实习生	120652747	北京一零跃动网络信息技术有限公司	一零跃动	数据服务,软件开发	不需要融资	150-500人	4k-6k	不限	本科
7295649	python开发工程师	124770	北京首都在线科技股份有限公司	CDS	移动互联网	上市公司	150-500人	15k-20k	3-5年	本科
6430936	服务端开发工程师（python方向）	2646	在线途游（北京）科技有限公司	途游	移动互联网,游戏	B轮	150-500人	16k-32k	3-5年	本科
7126363	Python数据处理开发工程师-0301	60689	北京视野金融信息服务有限公司	视野金融	移动互联网,金融	A轮	50-150人	10k-15k	3-5年	本科
